Species,pCO2,block,ID,growth.rate
Turbinaria,Elevated,T1,1,2.004521844
Turbinaria,Elevated,T1,2,3.175214631
Turbinaria,Elevated,T1,3,1.132398239
Turbinaria,Elevated,T1,4,2.307833114
Turbinaria,Elevated,T1,5,2.710815003
Turbinaria,Elevated,T1,6,2.097425907
Turbinaria,Elevated,T1,7,4.823557749
Turbinaria,Elevated,T1,8,3.641991448
Turbinaria,Elevated,T1,9,2.85426148
Turbinaria,Elevated,T1,10,1.180763162
Turbinaria,Elevated,T3,11,2.40018658
Turbinaria,Elevated,T3,12,2.556625704
Turbinaria,Elevated,T3,13,1.25891488
Turbinaria,Elevated,T3,14,2.028988013
Turbinaria,Elevated,T3,15,2.180411591
Turbinaria,Elevated,T3,16,2.409904399
Turbinaria,Elevated,T3,17,1.467279325
Turbinaria,Elevated,T3,18,-4.345055725
Turbinaria,Elevated,T3,19,2.685107644
Turbinaria,Elevated,T3,20,1.93256149
Turbinaria,Ambient,T5,21,2.972956208
Turbinaria,Ambient,T5,22,1.121262024
Turbinaria,Ambient,T5,23,2.027769688
Turbinaria,Ambient,T5,24,2.397935765
Turbinaria,Ambient,T5,25,-3.444237697
Turbinaria,Ambient,T5,26,2.021763852
Turbinaria,Ambient,T5,27,1.562302479
Turbinaria,Ambient,T5,28,1.51217978
Turbinaria,Ambient,T5,29,1.305749961
Turbinaria,Ambient,T5,30,2.128984361
Turbinaria,Ambient,T7,31,2.663111176
Turbinaria,Ambient,T7,32,2.032510287
Turbinaria,Ambient,T7,33,2.806654053
Turbinaria,Ambient,T7,34,1.925712622
Turbinaria,Ambient,T7,35,1.643853243
Turbinaria,Ambient,T7,36,2.417466811
Turbinaria,Ambient,T7,37,2.171972279
Turbinaria,Ambient,T7,38,1.37403009
Turbinaria,Ambient,T7,39,0.064647391
Turbinaria,Ambient,T7,40,2.298341492
Sargassum,Elevated,T1,41,3.838375956
Sargassum,Elevated,T1,42,2.599604842
Sargassum,Elevated,T1,43,5.202388249
Sargassum,Elevated,T1,44,3.914812501
Sargassum,Elevated,T1,45,4.348784793
Sargassum,Elevated,T1,46,2.94509047
Sargassum,Elevated,T1,47,4.110802445
Sargassum,Elevated,T1,48,4.749426174
Sargassum,Elevated,T1,49,2.978672339
Sargassum,Elevated,T1,50,3.694252762
Sargassum,Elevated,T3,51,4.110802445
Sargassum,Elevated,T3,52,3.163305209
Sargassum,Elevated,T3,53,4.546289903
Sargassum,Elevated,T3,54,4.475809293
Sargassum,Elevated,T3,55,4.804288342
Sargassum,Elevated,T3,56,4.033020229
Sargassum,Elevated,T3,57,4.833125913
Sargassum,Elevated,T3,58,3.666736684
Sargassum,Elevated,T3,59,3.960497662
Sargassum,Elevated,T3,60,5.686936399
Sargassum,Ambient,T5,61,4.348784793
Sargassum,Ambient,T5,62,1.357827753
Sargassum,Ambient,T5,63,4.230137388
Sargassum,Ambient,T5,64,1.800585105
Sargassum,Ambient,T5,65,6.020841222
Sargassum,Ambient,T5,66,5.10816219
Sargassum,Ambient,T5,67,2.92102943
Sargassum,Ambient,T5,68,4.509202505
Sargassum,Ambient,T5,69,3.396052815
Sargassum,Ambient,T5,70,3.568293361
Sargassum,Ambient,T7,71,4.495037387
Sargassum,Ambient,T7,72,6.184138088
Sargassum,Ambient,T7,73,5.066361291
Sargassum,Ambient,T7,74,2.269818197
Sargassum,Ambient,T7,75,6.510343472
Sargassum,Ambient,T7,76,5.771619008
Sargassum,Ambient,T7,77,4.574905308
Sargassum,Ambient,T7,78,5.512194117
Sargassum,Ambient,T7,79,3.033722411
Sargassum,Ambient,T7,80,5.591332866
