Site,recruitment
bay,1.9
bay,8.2
bay,3.8
bay,32.6
bay,11.8
bay,0.5
bay,2.5
bay,3.2
bay,13.8
bay,14
bay,0
bay,0
bay,0.5
bay,0.4
bay,0.7
bay,0
bay,0
bay,3
bay,7.8
bay,15.1
bay,0
bay,0
bay,0.3
bay,4.4
bay,3.5
bay,0
bay,0
bay,0.2
bay,3.8
bay,2.2
openocean,2.6
openocean,5.6
openocean,8.6
openocean,4.4
openocean,20.6
openocean,6.2
openocean,10.4
openocean,12.8
openocean,13.4
openocean,14.4
openocean,11.1
openocean,9.5
openocean,11.1
openocean,20.6
openocean,14.2
openocean,18.2
openocean,15.4
openocean,5.9
openocean,10.4
openocean,13.4
openocean,0
openocean,2.6
openocean,0.8
openocean,8.8
openocean,16.2
openocean,0
openocean,0.3
openocean,9.3
openocean,14.7
openocean,13.9
