temperature,coral,day,FvFm
ambient,a,1,0.412
ambient,b,1,0.343
ambient,c,1,0.376
ambient,d,1,0.442
ambient,e,1,0.418
ambient,f,1,0.354
ambient,g,1,0.399
ambient,h,1,0.387
ambient,i,1,0.404
ambient,j,1,0.375
warm,k,1,0.426
warm,l,1,0.402
warm,m,1,0.393
warm,n,1,0.416
warm,o,1,0.445
warm,p,1,0.367
warm,q,1,0.389
warm,r,1,0.426
warm,s,1,0.413
warm,t,1,0.412
hot,u,1,0.318
hot,v,1,0.379
hot,w,1,0.300
hot,x,1,0.349
hot,y,1,0.375
hot,z,1,0.356
hot,aa,1,0.320
hot,bb,1,0.346
hot,cc,1,0.278
hot,dd,1,0.284
ambient,a,2,0.341
ambient,b,2,0.309
ambient,c,2,0.340
ambient,d,2,0.384
ambient,e,2,0.269
ambient,f,2,0.408
ambient,g,2,0.402
ambient,h,2,0.389
ambient,i,2,0.371
ambient,j,2,0.331
warm,k,2,0.392
warm,l,2,0.420
warm,m,2,0.338
warm,n,2,0.396
warm,o,2,0.363
warm,p,2,0.401
warm,q,2,0.396
warm,r,2,0.385
warm,s,2,0.369
warm,t,2,0.355
hot,u,2,0.348
hot,v,2,0.307
hot,w,2,0.348
hot,x,2,0.342
hot,y,2,0.376
hot,z,2,0.353
hot,aa,2,0.353
hot,bb,2,0.340
hot,cc,2,0.355
hot,dd,2,0.382
ambient,a,3,0.425
ambient,b,3,0.362
ambient,c,3,0.349
ambient,d,3,0.388
ambient,e,3,0.368
ambient,f,3,0.317
ambient,g,3,0.367
ambient,h,3,0.408
ambient,i,3,0.396
ambient,j,3,0.321
warm,k,3,0.403
warm,l,3,0.382
warm,m,3,0.393
warm,n,3,0.402
warm,o,3,0.401
warm,p,3,0.391
warm,q,3,0.350
warm,r,3,0.384
warm,s,3,0.376
warm,t,3,0.386
hot,u,3,0.386
hot,v,3,0.377
hot,w,3,0.378
hot,x,3,0.339
hot,y,3,0.370
hot,z,3,0.364
hot,aa,3,0.400
hot,bb,3,0.364
hot,cc,3,0.340
hot,dd,3,0.340
ambient,a,4,0.438
ambient,b,4,0.343
ambient,c,4,0.329
ambient,d,4,0.410
ambient,e,4,0.402
ambient,f,4,0.455
ambient,g,4,0.412
ambient,h,4,0.323
ambient,i,4,0.449
ambient,j,4,0.422
warm,k,4,0.483
warm,l,4,0.401
warm,m,4,0.387
warm,n,4,0.381
warm,o,4,0.394
warm,p,4,0.341
warm,q,4,0.413
warm,r,4,0.448
warm,s,4,0.391
warm,t,4,0.438
hot,u,4,0.377
hot,v,4,0.419
hot,w,4,0.401
hot,x,4,0.430
hot,y,4,0.378
hot,z,4,0.387
hot,aa,4,0.389
hot,bb,4,0.407
hot,cc,4,0.383
hot,dd,4,0.342
ambient,a,5,0.453
ambient,b,5,0.464
ambient,c,5,0.473
ambient,d,5,0.407
ambient,e,5,0.484
ambient,f,5,0.466
ambient,g,5,0.431
ambient,h,5,0.464
ambient,i,5,0.484
ambient,j,5,0.490
warm,k,5,0.438
warm,l,5,0.448
warm,m,5,0.432
warm,n,5,0.418
warm,o,5,0.430
warm,p,5,0.433
warm,q,5,0.497
warm,r,5,0.433
warm,s,5,0.407
warm,t,5,0.456
hot,u,5,0.407
hot,v,5,0.423
hot,w,5,0.409
hot,x,5,0.428
hot,y,5,0.408
hot,z,5,0.397
hot,aa,5,0.404
hot,bb,5,0.391
hot,cc,5,0.410
hot,dd,5,0.422
ambient,a,6,0.477
ambient,b,6,0.442
ambient,c,6,0.491
ambient,d,6,0.462
ambient,e,6,0.459
ambient,f,6,0.504
ambient,g,6,0.456
ambient,h,6,0.467
ambient,i,6,0.397
ambient,j,6,0.493
warm,k,6,0.432
warm,l,6,0.430
warm,m,6,0.471
warm,n,6,0.438
warm,o,6,0.435
warm,p,6,0.479
warm,q,6,0.418
warm,r,6,0.448
warm,s,6,0.367
warm,t,6,0.441
hot,u,6,0.389
hot,v,6,0.441
hot,w,6,0.399
hot,x,6,0.386
hot,y,6,0.434
hot,z,6,0.442
hot,aa,6,0.404
hot,bb,6,0.419
hot,cc,6,0.407
hot,dd,6,0.412
